abstract,contribution,category
"crouzon syndrome is one of the most common craniofacial syndromes and is inherited as autosomal dominant with variable expression . 
 we report an 11 and a half - year - old boy with crouzon syndrome with severe growth retardation . 
 he had hydrocephalus since infancy and recently suffered from frequent dizziness . 
 his bone age was only 5 years according to the greulich and pyle atlas . 
 magnetic resonance imaging showed shallow orbits , obstructive hydrocephalus , and cerebellar tonsil herniation . 
 growth hormone provocative tests revealed a reduced peak growth hormone response in both insulin and clonidine tests . 
 severe iron deficiency anemia was noted at the same time . 
 molecular analysis identified a common mutation point of cys278phe for crouzon syndrome in exon iiia of the fibroblast growth factor receptor 2 ( fgfr2 ) gene . 
 since growth retardation is not a common feature of crouzon syndrome , we reviewed the literature for the incidence of hydrocephalus in crouzon syndrome and the association with growth hormone deficiency .",The paper report case of an 11 and a half-year-old boy with crouzon syndrom with severe growth retardation,Case study
"release and reception of extracellular atp by leukocytes plays a critical role in immune responses to infection , injury and cardiovascular disease . 
 leukocytes of both the innate , adaptive immune and central nervous system express a repertoire of cell surface receptors for atp ( p2x and p2y receptors ) and its metabolites . 
 atp acts as a damage - associated molecule pattern ( damp ) released by injured or dying cells . 
 detection of released atp by neighboring leukocytes initiates inflammation and wound healing . 
 however , recent evidence from our group and others suggests atp release by leukocytes themselves serves to regulate homeostatic mechanisms and coordinate responses to external pro - inflammatory cues . 
 examples include the homeostatic control of intracellular calcium and regulation of migratory guidance during chemotactic response to external cues . 
 though there has been some progress in elucidating atp release mechanisms of some mammalian cells types , release conduits and coupling signal transduction machinery remain larger elusive for leukocytes . 
 our recent studies suggest a role for secretory lysosomes in releasing atp in monocytes . though poorly defined , 
 targeting atp release mechanisms in leukocytes have great anti - inflammatory potential .",The paper suggests that atp release by leukocytes themselves serves to regulate homeostatic mechanisms and coordinate responses to external pro-inflammatory cues. Targeting atp release mechanisms in leukocytes have great anti-inflammatory potential.,Analytical
"neurofibromas ( nf ) are benign tumors of neural origin , of which roughly 90% appear as solitary lesions . 
 they are classified into cutaneous , subcutaneous , and plexiform subtypes . 
 plexiform neurofibromas are the least common variant and usually are pathognomonic for nf i. here , we present a very rare case of isolated plexiform neurofibroma with a painless enlarging mass of the tongue of an 11-year - old girl . 
 this rare benign tumor has the potential for malignant transformation , and the diagnosis was difficult owing to the patient 's age and to the insidious clinical presentation . 
 the present case is a diffuse isolated plexiform neurofibroma of the tongue that was not associated with neurofibromatosis that was treated with intraoral surgery .",The paper report very rare case of isolated plexiform neurofibroma with a painless enlarging mass of the tongue of  an 11-year-old girl ,Case study
"parosteal osteosarcomas are rare , low - grade juxtacortical variant of osteosarcoma , especially in the jaws , representing 1.6% of all bony malignant tumours and upto 5% of all osteosarcomas . 
 only 12 cases of intraoral parosteal osteosarcomas have been reported in the english literature . in the jaws males 
 are more commonly affected with peak occurrence at 39 years and nearly equal site predilection for maxilla and mandible . 
 radiographically , parosteal osteosarcomas are radiodense , lobulated masses with a broad stalk to the cortex of the bone with no periosteal reaction and medullary invasion 
 . microscopically , shows well - differentiated tumor with minimum atypia and rare mitotic figures separating trabeculae of woven bone . unlike classical and periosteal osteosarcoma 
 , it is considered to have a good prognosis . 
 a case report of this rare entity in 22-year - old female patient with bony hard , painless swelling of 9 months duration in maxillary premolar - molar region is presented . 
 the need for differential diagnostic approach is emphasized from other seemingly benign clinical entities .","The paper report a rare parosteal osteosarcomas case of 22-year old female patient with bony hard, painless swelling of 9 months duration in maxillary premolar - molar region ",Case study
"background and purpose : the conventional therapeutic regimen for status epilepticus ( se ) may require artificial ventilation and hemodynamic support , and is associated with significant complications and increased mortality . 
 we investigated the safety and effectiveness of topiramate ( tpm ) in patients with refractory se , who had medical complications such as systemic infection , renal dysfunction , hepatic dysfunction , and bone marrow suppression.methods:we analyzed the clinical features and therapeutic outcome in 16 patients with gcse , ncse or recurrent gtc in whom tpm was administered for its control.results:the majority of our patients had gcse ( n=6 ) or ncse ( n=7 ) . 
 the common co - morbid diseases at the onset of seizures were hematological disorders ( pancytopenia 8 , anemia 2 , anemia with thrombocytopenia 2 ) and sepsis ( n=8 ) . 
 twelve patients were under the renal and/or hepatic dysfunction . within a few days 
 , 13 patients could experience their seizure control ( the mean duration , 3.7 2.6 days ) , but the seizures of the other subjects did not be terminated in spite of all efforts . 
 no patients experienced a worsening of their cbc or blood chemistry profiles with the tpm treatment.conclusions:we could confirm that tpm was not only safe but very effective for the control of recurrent epileptic seizures or se in patients with serious medical co - morbidities . 
 tpm may be considered as another treatment option when conventional protocols are ineffective .","The paper investigated the safety and effectiveness of topiramate (tpm) in patients with refractory recurrent epileptic seizures or se, who had medical complications such as systemic infection, renal dysfunction, hepatic dysfunction and bone marrow suppression. It is concluded that tpm was not only safe but very effective for the control of reccurent epileptic seizures in patients with serious medical co-morbidities.",Analytical
"   we report the cases of two japanese children with cystic pituitary enlargement on 
 magnetic resonance imaging ( mri ) causing central diabetes insipidus ( di ) . in the first 
 patient , 
 endocrinological examination demonstrated slightly impaired growth hormone and 
 thyroid stimulating hormone secretions , but normal responses of other anterior pituitary 
 hormones . 
 the second patient had normal basal levels of anterior pituitary hormones . 
 
 transsphenoidal resection of the tumors was performed in both patients . 
 histological 
 analysis of the tumor sections demonstrated granulomatous tissue with cholesterol clefts , 
 foamy macrophages , multinucleated giant cells and no epithelial component . 
 thus , these 
 tumors were pathologically diagnosed as xanthogranuloma of the sellar region , different 
 from adamantinomatous craniopharyngioma . 
 post - operatively , the two patients continue to 
 have di , however other hormone replacement therapy after one year of follow - up has not 
 been required . 
 currently , it is not clear whether xanthogranuloma is a distinct entity 
 from adamantinomatous craniopharyingioma . although , to our knowledge , a clinical report of 
 xanthogranuloma of the sellar region has not been reported at pediatric age , it would be 
 included in the differential diagnosis of the sellar region . ",The paper repors the case of two japanese children with cystic pitutary enlargement on magnetic resonance imaging (mri) causing central diabetes insipidus (di). These tumors were pathologically diagnosed as xanthogranuloma of the sellar region. Clinical report of xanthogranuloma of the sellar region has not been reported at pediaric age.,Case study
"new - onset bipolar disorder is rare in the elderly . 
 symptom profile is similar to that in young adults but the elderly are more likely to have neurological co - morbidities . 
 there are no case reports of elderly mania being treated with aripiprazole , an atypical antipsychotic . a 78-year - old gentleman presented to us with symptoms suggestive of mania of 1 month 's duration . 
 he had similar history 3 years ago and a family history of postpartum psychosis in his mother . 
 there were no neurological signs on examination and work - up for an organic etiology was negative except for age - related cerebral atrophy . 
 he improved with aripiprazole and tolerated the medications well . 
 the use of psychotropic medications in the elderly is associated with side - effects of sedation , increased cardiovascular risk , and greater risk of extra - pyramidal side - effects . the use of partial dopaminergic antagonists like aripiprazole may be useful in the balancing of effects and side - effects .",The paper report case of elderly bipolar disorder being treated with aripiprazole. The use of partial dopaminergic antagonists like aripiprazole mayu be useful in the balancing of effects and side-effects.,Case study
"objectivea number of studies have found that reduced birth weight is associated with type 2 diabetes later in life ; however , the underlying mechanism for this correlation remains unresolved . 
 recently , association has been demonstrated between low birth weight and single nucleotide polymorphisms ( snps ) at the cdkal1 and hhex - ide loci , regions that were previously implicated in the pathogenesis of type 2 diabetes . in order to investigate whether type 2 diabetes risk  conferring alleles associate with low birth weight in our caucasian childhood cohort , we examined the effects of 20 such loci on this trait.research design and methodsusing data from an ongoing genome - wide association study in our cohort of 5,465 caucasian children with recorded birth weights , we investigated the association of the previously reported type 2 diabetes  associated variation at 20 loci including tcf7l2 , hhex - ide , pparg , kcnj11 , slc30a8 , igf2bp2 , cdkal1 , cdkn2a/2b , and jazf1 with birth weight.resultsour 
 data show that the minor allele of rs7756992 ( p = 8  105 ) at the cdkal1 locus is strongly associated with lower birth weight , whereas a perfect surrogate for variation previously implicated for the trait at the same locus only yielded nominally significant association ( p = 0.01 ; r2 rs7756992 = 0.677 ) . 
 however , association was not detected with any of the other type 2 diabetes loci studied.conclusionswe observe association between lower birth weight and type 2 diabetes risk  conferring alleles at the cdkal1 locus . 
 our data show that the same genetic locus that has been identified as a marker for type 2 diabetes in previous studies also influences birth weight .","The paper claims that the cdkal1 locus, which has been identified as a marker for type 2 diabetes is strongly associated with lower birth weight.",Analytical
"backgroundinformed consent is the cornerstone for protection of human subjects in clinical trials . 
 however , a growing body of evidence suggests that reform of the informed consent process in the united states is needed.methodsthe clinical trials transformation initiative conducted interviews with 25 experienced observers of the informed consent process to identify limitations and actionable recommendations for change.resultsthere was broad consensus that current practices often fail to meet the ethical obligation to inform potential research participants during the informed consent process . 
 the most frequent single recommendation , which would affect all participants in federally regulated clinical research , was reform of the informed consent document . 
 the interviews also identified the need for reform of clinical research review by institutional review boards , including transitioning to a single institutional review board for multi - site trials.conclusionthe consensus recommendations from the interviewees provide a framework for meaningful change in the informed consent process . 
 although some proposed changes are feasible for rapid implementation , others such as substantive reform of the informed consent document may require change in federal regulations .",The paper argues that the reform of the informed consent process in the united states is needed as current practice often fail to meet the ethical obligation to inform potential research participants during the informed concent process.,Argumentative
"purpose 
 to characterize the peripheral cones in the images obtained by spectral - domain optical coherence tomography ( oct ) , swept source oct , and adaptive optics fundus camera in a patient with peripheral cone dystrophy.methodsa 28-year - old japanese man underwent detailed ophthalmic evaluations including high - resolution imaging of the fundus of both eyes.resultsthe decimal best - corrected visual acuity was 1.2 in both eyes . 
 the results of slit - lamp biomicroscopy and ophthalmoscopy were essentially normal . 
 fluorescein and indocyanine green angiographies did not show any hyper- or hypofluorescent areas of the retina . 
 goldmann perimetry showed full peripheral visual fields but relative central scotomas within the central 20. the results of the humphrey visual field analyzer showed a limited preservation of the central sensitivity . 
 color vision tests showed no errors in both eyes . 
 spectral - domain oct showed attenuation of both the ellipsoid and interdigitation zones throughout the macular region except the center of the fovea . 
 the scotopic full - field ergs were normal , but the photopic ergs were markedly reduced . 
 regular cone mosaics were not observed especially more than 450  m radius from the fovea in the adaptive optics retinal images . 
 the parafoveal cone densities were severely decreased in both eyes.conclusionsour findings indicate that the peripheral cone dystrophy diagnosed by full - field ergs and perimetry is due to a reduction in the density of parafoveal and peripheral cones .","The paper introduce case of 28 year old japanese man underwent detailed ophthalmic evaluations, and concludes that the peripheral cone dystrophy diagnosed by full-field ergs and perimetry is due to a reduction in the density of parafoveal and peripheral cones.",Analytical
"background : urinary tract infections ( utis ) are one of main health problems caused by many microorganisms , including uropathogenic escherichia coli ( upec ) . 
 upec strains are the most frequent pathogens responsible for 85% and 50% of community and hospital acquired utis , respectively . 
 upec strains have special virulence factors , including type 1 fimbriae , which can result in worsening of utis.objectives:this study was performed to detect type 1 fimbriae ( the fimh gene ) among upec strains by molecular method.materials and methods : a total of 140 isolated e. coli strains from patients with uti were identified using biochemical tests and then evaluated for the fimh gene by polymerase chain reaction ( pcr ) analysis.results:the upec isolates were identified using biochemical tests and were screened by pcr . 
 the fimh gene was amplified using specific primers and showed a band about 164 bp . 
 the fimh gene was found in 130 isolates ( 92.8% ) of the upec strains . 
 of 130 isolates positive for the fimh gene , 62 ( 47.7% ) and 68 ( 52.3% ) belonged to hospitalized patients and outpatients , respectively.conclusions:the results of this study indicated that more than 90% of e. coli isolates harbored the fimh gene . the high binding ability of fimh could result in the increased pathogenicity of e. coli ; thus , fimh could be used as a possible diagnostic marker and/or vaccine candidate .","The paper reports study to detect type 1 fimbriae among upec strains by molecular method, and concludes that more than 90% of e. coli isolates harbored the fimh gene, thus, fimh could be used as a possible diagnostic marker and/or vaccine candidate.",Methodological
" balantidiasis is a rare zoonotic disease in humans . 
 balantidium coli is the causative ciliated protozoan . 
 we present a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease ( copd ) who was on steroids for a long time . 
 he has no symptoms of bowel or urinary involvement . 
 we are reporting this case because of its rarity in human urine and also for future references . ",The paper presents a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease who was on steroids for a long time,Case study
"5q - syndrome is a special subgroup of myelodysplastic syndrome in terms of follow - up and treatment . 
 lenalidomide is an immunomodulatory drug that is frequently used in the treatment of multiple myeloma . 
 some clinical studies have shown that lenalidomide treatment is effective in 5q syndrome and significantly decreases the transfusion dependency in these patients . in this paper 
 , we would like to share a dramatic response of lowered transfusion dependency after treatment with low - dose lenalidomide in a patient who received myelodysplastic syndrome diagnosis and isolated 5q anomaly in our clinic .",The paper presents a dramatic response of lowered transfusion dependency after treatement with low-dose lenalidomide in a patient who received myelodysplastic syndrome and isolated 5q anomaly in the author's clinic,Case study
"the hepatitis c virus ( hcv ) encodes approximately 10 different structural and 
 non - structural proteins , including the envelope glycoprotein 2 ( e2 ) . 
 hcv proteins , 
 especially the envelope proteins , bind to cell receptors and can damage tissues . 
 
 endothelial inflammation is the most important determinant of fibrosis progression 
 and , consequently , cirrhosis . 
 the aim of this study was to evaluate and compare the 
 inflammatory response of endothelial cells to two recombinant forms of the hcv e2 
 protein produced in different expression systems ( escherichia coli 
 and pichia pastoris ) . 
 we observed the induction of cell 
 death and the production of nitric oxide , hydrogen peroxide , interleukin-8 and 
 vascular endothelial growth factor a in human umbilical vein endothelial cells 
 ( huvecs ) stimulated by the two recombinant e2 proteins . 
 the e2-induced apoptosis of 
 huvecs was confirmed using the molecular marker parp . 
 the apoptosis rescue observed 
 when the antioxidant n - acetylcysteine was used suggests that 
 reactive oxygen species are involved in e2-induced apoptosis . 
 we propose that these 
 proteins are involved in the chronic inflammation caused by hcv .","The study evaluate and compare the inflammatory response of endothelial cells to two recombinant forms of the hcv e2 protein prduced in diferent expression systems. Induction of cell death and the production of nitric oxide, hydrogen peroxide, interleukin-8 and vascular endothelial grouth factor a in human umbilical vain endothelial cells stimulated by the two recombinant e2 proteins were observed. The paper propose those proteins are incolved in the chronic inflammation caused by hcv.",Analytical
"in the early 1970s , studies in leland hartwell s laboratory at the university of washington launched the genetic analysis of the eukaryotic cell cycle and set the path that has led to our modern understanding of this centrally important process . this 45th - anniversary retrospective reviews the steps by which the project took shape , the atmosphere in which this happened , and the possible morals for modern times . 
 it also provides an up - to - date look at the 35 original cdc genes and their human homologues .",The paper reviews the project of genetic analysis of the eukaryotic cell cycle at the university of washington in the early 1970s.,Review
"recent studies from the gulf region suggest that compared to men , women have a greater risk of developing metabolic syndrome ( mes ) . objective . to investigate gender differences in body composition , adipokines , inflammatory markers , and aerobic fitness in a cohort of healthy qatari adults . 
 participants . 
 healthy qatari ( n = 58 ) were matched for age , gender , and body mass index . 
 methods . body composition and regional fat distribution were determined by dual - energy x - ray absorptiometry and computerized tomography . 
 laboratory assessments included serum levels of fasting glucose , insulin , lipid profile analysis , adipokines , and inflammatory markers . 
 subjects were also evaluated for aerobic fitness . 
 results . 
 women had more adipose tissue in the total abdominal ( p = 0.04 ) and abdominal subcutaneous ( p = 0.07 ) regions compared to men . waist circumference and indices of insulin sensitivity were similar ; however , women had a more favourable lipid profile than men . 
 serum adiponectin and leptin levels were significantly higher in women , whereas inflammatory profiles were not different between men and women . 
 aerobic fitness was lower in women and was associated with abdominal fat accumulation . conclusion . 
 in premenopausal women , higher levels of adiponectin may support maintenance of insulin sensitivity and normolipidemia despite greater adiposity . 
 however , poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of mes compared with men .",The paper investigates sex difference in metabolic syndrome risk. The paper suggests poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of metabolic syndrome of women compared with men.,Analytical
 ,The paper argues that measuring changes in the esophageal-arterial carbon dioxide gap may be a useful tool for monitaryn the adequacy of resuscitation in trauma victims,Analytical
"a series 
 of -ketooxazoles incorporating electrophiles at 
 the c5 position of the pyridyl ring of 2 ( ol-135 ) and 
 related compounds were prepared and examined as inhibitors of fatty 
 acid amide hydrolase ( faah ) that additionally target the cytosolic 
 port cys269 . from this series , a subset of the candidate inhibitors 
 exhibited time - dependent faah inhibition and noncompetitive irreversible 
 inactivation of the enzyme , consistent with the targeted cys269 covalent 
 alkylation or addition , and maintained or enhanced the intrinsic selectivity 
 for faah versus other serine hydrolases . 
 a preliminary in vivo assessment 
 demonstrates that these inhibitors raise endogenous brain levels of 
 anandamide and other faah substrates upon intraperitoneal ( i.p . ) 
 administration 
 to mice , with peak levels achieved within 1.53 h , and that 
 the elevations of the signaling lipids were maintained > 6 h , indicating 
 that the inhibitors effectively reach and remain active in the brain , 
 inhibiting faah for a sustained period .",The paper demonstrates that a series of -ketooxazoles incorporating electrophi raise endogenous brain les at the c5 position of the pyridyl ring of 2 ( ol-135 ) and related compounds raise endogenous brain levels of anandamide and othe faah substrates upon intrapetritoneal administration,Analytical
